Index|Steel|C|Mn|Cr|Ni|V|Mo|W|Co|Si|S|P|Rw|Type|cluster|d0|d1|d2|d3|d4|d5|d6|d7|d8|d9|d10|d11|d12|d13|d14
12|420J2|0.15|1.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|51.0|Stainless|5|3.978668118855856|0.9979791655971514|11.50201491332395|6.4467319046164775|10.625892903657556|2.3931402482792117|2.6899748140084885|4.27999221183092|12.77379739936406|9.373385140918941|12.59377326300581|3.2521685073193844|7.570795121749777|12.653838350476903|4.787541702748453
13|425 Modified|0.47|0.5|14.25|0.0|0.1|0.8|0.0|0.0|0.0|0.0|0.0|58.0|Stainless|1|3.18752254893985|1.826830598061464|12.742378615494527|7.2841164357799775|10.715950727770263|1.1868990432395574|1.3488604449682708|3.2621414234619968|13.38311622904023|10.407525274210645|12.23834241227136|2.0613668604431696|6.414635847904735|13.897903618891592|5.607565326314878
14|440A|0.7|1.0|17.0|0.0|0.0|0.75|0.0|0.0|0.0|0.0|0.0|56.0|Stainless|5|4.240141507072612|4.53969901831286|15.483756832169483|9.897946870437323|12.194408554743442|1.749748624212599|1.6864502660914726|4.4168238965724385|15.41281609570425|13.126767144528264|12.65911233064941|2.489497941352835|4.98101497729947|16.643696254137783|8.303145321034807
15|440B|0.85|1.0|17.0|0.0|0.0|0.75|0.0|0.0|0.0|0.0|0.0|58.0|Stainless|5|4.214059800240144|4.540226083705134|15.482146535672657|9.892868757342331|12.171507712687037|1.7561275250668782|1.6796769034549468|4.406907456860575|15.396506097163734|13.12381482902996|12.629157731218656|2.469433133332426|4.939434198780426|16.644417232213332|8.297573273085463
16|440C|1.075|1.0|17.0|0.0|0.0|0.75|0.0|0.0|0.0|0.0|0.0|58.0|Stainless|5|4.184725200057945|4.550297403751213|15.48245587506935|9.889513499156568|12.140550852411929|1.7893865817209464|1.6945469896110872|4.40158588844218|15.37475284354191|13.122600377465844|12.587444140888966|2.4562624045488306|4.88504198590776|16.648032916834353|8.294296065503222
17|440XH|1.6|0.5|16.0|0.35|0.45|0.8|0.0|0.0|0.0|0.0|0.0|61.0|Stainless|6|3.1601107575526526|3.6536688065969143|14.499771325607103|8.818948477568059|11.14139129552499|1.387175768087897|1.0021549281423505|3.790448522272793|14.281540533149776|12.091161331043985|11.851503069231343|1.7709978354965128|4.830129714741053|15.65814883694749|7.237153369170015
18|5160|0.6|0.875|0.8|0.0|0.0|0.0|0.0|0.0|0.225|0.04|0.035|58.0|Non_Stainless|2|14.024402839336867|11.72920609036281|0.8869803882745507|7.6095536827070225|13.401526965237954|14.484007317562588|14.664485654123705|13.889321137718236|10.980704667734216|4.424692155016738|18.142621089577986|14.683114167868702|18.543769059130547|1.0238163897887158|8.451143742450222
19|52100|1.04|0.35|1.45|0.0|0.0|0.0|0.0|0.0|0.225|0.025|0.028|60.0|Non_Stainless|2|13.355266152346049|11.075459411549064|0.43590848716637|6.979477863708717|12.907330630304626|13.851258218946535|14.01683339774002|13.256349447214594|10.66121634711537|3.8629586674810104|17.61008969312763|14.02056349319337|17.873454016775717|1.4079271998224905|7.78275933643646
20|5Cr15MoV|0.475|0.4|14.75|0.0|0.1|0.6|0.0|0.0|0.0|0.0|0.0|56.0|Stainless|1|3.2511421070140876|2.273316600772303|13.234636264980105|7.760604180732322|10.977475802751743|0.80796870592373|0.955007591592863|3.51884805961648|13.732735525014672|10.906770404967123|12.287341046784691|1.874270969381606|6.081652106700841|14.388380728907615|6.1069916671158335
21|65Mn|0.66|1.05|0.25|0.25|0.0|0.0|0.0|0.0|0.27|0.035|0.035|54.0|Non_Stainless|2|14.566143964687429|12.288010728065842|1.3997877116745598|8.119020707573052|13.77449999092526|15.036212871619675|15.21107473191819|14.422942949805124|11.212535395707787|4.887360125875727|18.541927488802234|15.2358267470678|19.079529873769992|0.8364657793358913|8.99521755650684
22|7Cr17|0.675|1.0|17.0|0.6|0.0|0.75|0.0|0.0|0.0|0.0|0.0|55.0|Stainless|6|4.287181475048613|4.576884653260524|15.490116108871701|9.91718091243676|12.213147628682789|1.8499372895335155|1.6288307155748256|4.4595169768335525|15.427346661043176|13.141130367412591|12.669007459150064|2.564870042191872|5.024304449780251|16.62386838253961|8.325984259466798
23|80CrV2|0.462|0.4|0.235|0.2|0.2|0.1|0.0|0.0|0.225|0.025|0.025|57.0|Non_Stainless|2|14.515316186704304|12.288991540465503|1.4154145513031917|8.027573185589777|13.647120721969161|15.05905612980645|15.222031221226688|14.403296289391537|11.056814369428475|4.746361027144901|18.43317577087573|15.224456771918005|19.043910460634212|0.7461494488371616|8.937212441372436
24|8670M|0.695|0.5|0.4|0.85|0.0|0.115|0.0|0.0|0.275|0.025|0.025|58.5|Non_Stainless|13|14.405215201447009|12.147856435865323|1.3801922466653336|7.956475491698569|13.650771956193541|14.911742620338062|15.05566619250042|14.258989854357377|11.143833496602504|4.718932506404388|18.413968882345813|15.084858578499611|18.92855721023725|0.0|8.828496317166486
25|8Cr13MoV|0.8|0.4|13.0|0.2|0.1|0.15|0.0|0.0|0.0|0.0|0.0|58.5|Stainless|1|3.5786589667080597|0.5490776124463607|11.47034548903193|6.259980211630065|10.34923185555334|2.377466618201223|2.520479021932141|4.016839553678986|12.57357944262492|9.259158475081128|12.310894565383945|2.9882436312991607|7.315576058057527|12.621078598915389|4.563137322306027
26|9Cr13CoMoV|0.85|1.0|13.5|0.0|0.2|0.2|0.0|1.0|0.0|0.0|0.0|59.0|Stainless|5|3.5448272172279425|1.5025567212855133|12.0142553985094|6.768408398582343|10.257465573912496|2.025279390990352|2.3009486087264097|4.009779711322472|12.849120592476359|9.80596836965461|12.196848978322226|2.253279092049332|6.963564065174953|13.180691370334108|5.131655569978259
27|9Cr18MoV|0.9|0.8|17.5|0.6|0.095|1.15|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|6|4.426028129146944|5.101809602924221|16.002960371061196|10.322953901379197|12.34073032684857|2.4130355783699784|2.1311885181747763|4.504778018948326|15.715324527352275|13.587642940063839|12.608564549543296|2.8169058083885834|4.698202489532892|17.13947636306314|8.744793530375023
28|A-2|1.0|1.0|5.125|0.3|0.325|1.15|0.0|0.0|0.4|0.03|0.03|60.0|Non_Stainless|2|9.686297022082277|7.480153139234154|3.747857854147881|3.6728820087228504|10.416064515929229|10.18967892583325|10.33763461822868|9.428090121192803|9.568894920522432|2.5689464117934935|14.826578330821983|10.35768555228435|14.257228349299933|4.9156561108360695|4.078018990746474
29|Acuto+|0.925|0.5|17.5|0.0|0.175|1.4|0.0|0.0|0.0|0.0|0.0|59.5|Stainless|1|4.276511428723183|5.107015299772348|16.014433019107152|10.264920956831572|12.2230969888977|2.4614310827660013|2.246528321655438|4.296170775624887|15.649078247615735|13.549074962274485|12.496224429802785|2.7209097743218176|4.570750507748332|17.173937376152274|8.687499000799301
30|ATS-34|1.05|0.4|14.0|0.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|60.0|Stainless|7|3.9125183705639004|3.9880011147386187|13.04634666686582|7.41163627345541|10.403682040508542|3.7871712005769345|3.675508740297049|0.2677063067368165|13.479610528498217|10.411868980479282|12.186185826582491|3.663959606764244|7.196909767676793|14.177045707762954|5.831856956026576
31|ATS-55|1.0|0.5|14.0|0.0|0.0|0.6|0.0|0.4|0.0|0.0|0.0|60.0|Stainless|1|3.247814649883826|1.5812097646194483|12.4829482521689|7.099355763025262|10.568708530373993|1.4232588318641628|1.5900202828894987|3.433050150133745|13.236026594110486|10.18665052900118|12.249107110316244|1.9277188591700805|6.5629487212964985|13.647257050411266|5.407993055551097
32|AUS-10|1.025|0.5|13.75|0.49|0.185|0.205|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|6|3.269308030761249|1.357985828425349|12.222378009584865|6.887911675537078|10.497503274588677|1.7263452653529694|1.7647604653323357|3.84152422006335|12.962402362216658|9.973071609756612|12.139619022028654|2.43510608940692|6.662334387419768|13.36339028839613|5.225565094375493
33|AUS-4|0.425|1.0|13.75|0.49|0.0|0.0|0.0|0.0|0.0|0.0|0.0|56.0|Stainless|6|3.730954971585693|1.4992384688216074|12.23892402754592|7.0691638296194546|10.832062361341906|1.7010303756379477|1.9024877134951494|4.1312699823016485|13.206366835734952|10.077337975212833|12.492111510869568|2.725556518095585|6.965898018495651|13.370306653177407|5.420834550345751
